"Path","From","To","Action"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\rc.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\SboGrpData.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\SboGrpData.vcxproj.user.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Debug\SboLaunch.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Debug\SboLaunch.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\cl.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link-cvtres.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link-cvtres.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\mt.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\mt.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\mt.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\rc.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\rc.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\rc.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\rc.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\rc.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\Release\SboLaunch.tlog\rc.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboLaunch\SboLaunch.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Debug\SboSockLib.lib.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Debug\SboSockLib.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.lib.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\Release\SboSockLib.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\SboSockLib.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSockLib\SboSockLib.vcxproj.user.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Debug\SboSoundData.dll.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Debug\SboSoundData.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\cl.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link-cvtres.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
